exam_year,question_id,question_type,topic,modality,question_text,description,image_path,correct_answer
Fall2017,Q1,B,Attribute types / boxplot interpretation of standardized attributes,screenshot,"We will consider a basketball dataset containing 54 National Basketball Association (NBA) basketball players and their performance. For brevity this dataset will be denoted the Basketball dataset in the following. In Table 1 the attributes of the data as well as the output attribute y defined by each player's average points scored per game are given. The attributes are: x1 = Height (in feet) (Height), x2 = Weight (in pounds) (Weight), x3 = Percent of successful field goals out of 100 attempted (FG), x4 = Percent of successful free throws out of 100 attempted (FT), and the output y = average points scored per game (PT). In Figure 1 is given a boxplot of the four attributes x1-x4 after standardizing the data, i.e. subtracting the mean of each attribute and dividing each attribute by its standard deviation. The worst performing player (i.e., the player with lowest value of y) is indicated by a black circle with an asteric inside (his standardized values are Height = 0.68, Weight = 0.66, FG = -0.67, FT = -1.47). Considering the attributes described in Table 1 and the boxplot in Figure 1 which one of the following statements regarding the attributes x1-x4 and output variable y is correct?

A. The player with worst performance has Weight (i.e., x2) that is between the 25th and 50th percentile.
B. The player with worst performance has FT (i.e., x4) so low it is deemed an outlier.
C. The input attributes FT and FG (i.e., x3 and x4) are both ordinal variables.
D. The output y is ratio.",,data/screenshots/Fall2017_Q1.png,D
Fall2017,Q2,A,PCA / fourth singular value from squared Frobenius norm,text,"A principal component analysis (PCA) is carried out on the standardized attributes x1-x4, forming the standardized matrix X_tilde. The squared Frobenius norm of the standardized matrix is given by ||X_tilde||_F^2 = 212. A singular value decomposition is applied to the matrix X_tilde and we find that the first three singular values are sigma1 = 11.1, sigma2 = 7.2, sigma3 = 5.2. What is the value of the fourth singular value sigma4?

A. sigma4 = 1.2
B. sigma4 = 2.3
C. sigma4 = 3.1
D. sigma4 = 9.9",,,C
Fall2017,Q3,B,PCA / identifying a projected observation in the PCA plane,screenshot,"From the singular value decomposition of X_tilde we further obtain the following V matrix:

V =
[ -0.60   0.02  -0.41   0.69 ]
[ -0.61   0     -0.33  -0.72 ]
[ -0.46   0.46   0.76   0.04 ]
[  0.25   0.89  -0.39  -0.04 ]

The data projected onto the first two principal components is given in Figure 2 including four observations denoted A, B, C, and D that are marked by a black circle with an asteric inside. One of these four observations corresponds to the worst performing player indicated by a similar black circle with an asteric inside in the boxplot of Figure 1 (the worst performing player has standardized observation vector x_tilde* = [0.68, 0.66, -0.67, -1.47]). Which one of the four observations in Figure 2 corresponds to the worst performing player indicated in the boxplots of Figure 1?

A. Observation A.
B. Observation B.
C. Observation C.
D. Observation D.",,data/screenshots/Fall2017_Q3.png,C
Fall2017,Q4,C,Forward/backward feature selection from RMSE table,screenshot,"A least squares linear regression model is trained using different combinations of the four attributes x1, x2, x3, and x4 in order to predict the average points scored per game y. Table 2 provides the training and test root-mean-square error (RMSE = sqrt((1/N) sum_{i=1}^{N} (y_i - y_hat_i)^2)) performance of the least squares linear regression model when trained using different combinations of the four attributes. Which one of the following statements is correct?

Table 2 (Training RMSE, Test RMSE per feature subset):
Feature(s)                          Training   Test
No features                         5.8977     5.8505
x1                                  5.8760     6.0035
x2                                  5.8841     5.9037
x3                                  5.1832     5.9272
x4                                  5.8727     5.6845
x1 and x2                           5.6272     7.4558
x1 and x3                           5.1482     5.6409
x1 and x4                           5.8451     5.8269
x2 and x3                           5.0483     5.6656
x2 and x4                           5.8660     5.7461
x3 and x4                           5.1125     5.7390
x1 and x2 and x3                    4.9836     6.2823
x1 and x2 and x4                    5.6261     7.3888
x1 and x3 and x4                    5.0839     5.5099
x2 and x3 and x4                    5.0113     5.5605
x1 and x2 and x3 and x4             4.9645     6.0892

A. Forward selection will terminate when all features x1-x4 are included in the feature set.
B. The solution identified by Forward selection will be worse than the solution identified by Backward selection.
C. Forward selection will terminate using two feature in the feature set.
D. Backward selection will terminate using two features in the feature set.",,data/screenshots/Fall2017_Q4.png,B
Fall2017,Q4,C,Forward/backward feature selection from RMSE table,text_desc,"A least squares linear regression model is trained using different combinations of the four attributes x1, x2, x3, and x4 in order to predict the average points scored per game y. Table 2 provides the training and test root-mean-square error (RMSE = sqrt((1/N) sum_{i=1}^{N} (y_i - y_hat_i)^2)) performance of the least squares linear regression model when trained using different combinations of the four attributes. Which one of the following statements is correct?

Table 2 (Training RMSE, Test RMSE per feature subset):
Feature(s)                          Training   Test
No features                         5.8977     5.8505
x1                                  5.8760     6.0035
x2                                  5.8841     5.9037
x3                                  5.1832     5.9272
x4                                  5.8727     5.6845
x1 and x2                           5.6272     7.4558
x1 and x3                           5.1482     5.6409
x1 and x4                           5.8451     5.8269
x2 and x3                           5.0483     5.6656
x2 and x4                           5.8660     5.7461
x3 and x4                           5.1125     5.7390
x1 and x2 and x3                    4.9836     6.2823
x1 and x2 and x4                    5.6261     7.3888
x1 and x3 and x4                    5.0839     5.5099
x2 and x3 and x4                    5.0113     5.5605
x1 and x2 and x3 and x4             4.9645     6.0892

A. Forward selection will terminate when all features x1-x4 are included in the feature set.
B. The solution identified by Forward selection will be worse than the solution identified by Backward selection.
C. Forward selection will terminate using two feature in the feature set.
D. Backward selection will terminate using two features in the feature set.","Table 2 (Root-mean-square error for the training and test set using least squares regression to predict average points scored per game y, for different combinations of the four attributes x1-x4):
Feature(s)                          Training_RMSE   Test_RMSE
No features                         5.8977          5.8505
x1                                  5.8760          6.0035
x2                                  5.8841          5.9037
x3                                  5.1832          5.9272
x4                                  5.8727          5.6845
x1 and x2                           5.6272          7.4558
x1 and x3                           5.1482          5.6409
x1 and x4                           5.8451          5.8269
x2 and x3                           5.0483          5.6656
x2 and x4                           5.8660          5.7461
x3 and x4                           5.1125          5.7390
x1 and x2 and x3                    4.9836          6.2823
x1 and x2 and x4                    5.6261          7.3888
x1 and x3 and x4                    5.0839          5.5099
x2 and x3 and x4                    5.0113          5.5605
x1 and x2 and x3 and x4             4.9645          6.0892",,B
Fall2017,Q5,B,Gaussian distributions / matching covariance matrices to contour plot,screenshot,"We will encode the output attribute y in terms of three different classes, i.e. low performing players having performance below the 33.3 percentile, mid-performing players having performance in the range of the 33.3 percentile to 66.6 percentile and high-performing players having performance above the 66.6 percentile (i.e, each of the three classes will contain approximately one third of the data). We presently consider only the attributes FG and FT. Consider the three Gaussian distributions given in Figure 3 where each Gaussian is fitted to each of the three classes separately. We recall that the multivariate Gaussian distribution is given by: N(x | mu, Sigma) = (1/((2pi)^(M/2) |Sigma|^(1/2))) exp(-(1/2)(x - mu)^T Sigma^(-1) (x - mu)), with mean mu and covariance matrix Sigma. The three fitted covariances (in arbitrary order) are given by
Sigma_a = [[0.0035, 0.0003],[0.0003, 0.0030]],
Sigma_b = [[0.0028, -0.0013],[-0.0013, 0.0191]],
and Sigma_c = [[0.0020, 0.0001],[0.0001, 0.0061]].
The Gaussians are plotted in Figure 3 in terms of lines indicating where N(x | mu, Sigma) = 5, N(x | mu, Sigma) = 10, and N(x | mu, Sigma) = 20 thus defining ellipsoidal shapes at three different levels of the density functions. Which of the three classes correspond to which of the three covariance matrices Sigma_a, Sigma_b, and Sigma_c?

A. Sigma_a corresponds to the low performing class, Sigma_b corresponds to the mid performing class, Sigma_c corresponds to the high performing class.
B. Sigma_a corresponds to the low performing class, Sigma_c corresponds to the mid performing class, Sigma_b corresponds to the high performing class.
C. Sigma_c corresponds to the low performing class, Sigma_a corresponds to the mid performing class, Sigma_b corresponds to the high performing class.
D. Sigma_c corresponds to the low performing class, Sigma_b corresponds to the mid performing class, Sigma_a corresponds to the high performing class.",,data/screenshots/Fall2017_Q5.png,C
Fall2017,Q6,A,Decision tree / purity gain with Gini impurity,text,"A decision tree is fitted to the data considering as output whether the basketball player was in the group performing low, mid, or high according to splitting the output value in terms of the 33.3 and 66.6 percentile. At the root of the tree it is considered to split according to Height (i.e., x1), considering relatively short, medium, and tall players based on splitting x1 also according to its 33.3 and 66.6 percentiles. For impurity we will use the Gini given by I(v) = 1 - sum_c p(c|v)^2. Before the split, we have 18 low, 18 mid, and 18 high performing players and after the split we have
- Of the 18 short players we have that 6 have low, 9 have mid, and 3 have high performance.
- Of the 20 medium height players we have that 4 have low, 6 have mid, and 10 have high performance.
- Of the 16 tall players we have that 8 have low, 3 have mid, and 5 have high performance.
Which statement regarding the purity gain Delta of the split is correct?

A. Delta = 0.0505
B. Delta = 0.1667
C. Delta = 0.3333
D. Delta = 0.6667",,,A
Fall2017,Q7,B,ROC curve / matching AUC for a feature discriminator,screenshot,"We suspect that a basketball player's Height (i.e., x1) is predictive of whether the player is successful with his field goals FG (i.e., x3). To quantify whether Height is predictive of FG we will evaluate the area under curve (AUC) of the receiver operator characteristic (ROC) using the feature Height to discriminate between FG > 45% (positive class) or FG <= 45% (negative class) considering the data given in Figure 4. Figure 4 shows the attribute Height for 10 observations O1,...,O10 placed along a 1D Height axis, where O5, O6, O7, and O10 have FG > 45% (positive class, black) and O1, O2, O3, O4, O8, and O9 have FG <= 45% (negative class, red). Figure 5 shows four different ROC curves (TPR vs FPR) with AUC values 0.625, 0.750, 0.875, and 0.917. Which one of the receiver operator characteristic (ROC) curves given in Figure 5 corresponds to the correct ROC curve?

A. The curve having AUC=0.625
B. The curve having AUC=0.750
C. The curve having AUC=0.875
D. The curve having AUC=0.917",,data/screenshots/Fall2017_Q7.png,B
Fall2017,Q8,B,k-means clustering on 1D Height values (converged solution),screenshot,"We will consider the ten observations of the Basketball dataset given in Figure 4. We will cluster this data using k-means with Euclidean distance into two clusters (i.e., k=2). Which one of the following solutions constitutes a converged solution in the k-means clustering procedure?

Figure 4 (value of attribute Height for the ten observations O1-O10, read along the Height axis):
Observation : Height
O1 : 5.7
O2 : 6.0
O3 : 6.2
O4 : 6.3
O5 : 6.4
O6 : 6.6
O7 : 6.7
O8 : 6.9
O9 : 7.0
O10 : 7.4
(O5, O6, O7, O10 have FG > 45% (black); O1, O2, O3, O4, O8, O9 have FG <= 45% (red).)

A. {O1}, {O2, O3, O4, O5, O6, O7, O8, O9, O10}.
B. {O1, O2, O3, O4, O5}, {O6, O7, O8, O9, O10}.
C. {O1, O2, O3, O4, O5, O6, O7}, {O8, O9, O10}.
D. {O1, O2, O3, O4, O5, O6, O7, O8, O9}, {O10}.",,data/screenshots/Fall2017_Q8.png,B
Fall2017,Q8,B,k-means clustering on 1D Height values (converged solution),text_desc,"We will consider the ten observations of the Basketball dataset given in Figure 4. We will cluster this data using k-means with Euclidean distance into two clusters (i.e., k=2). Which one of the following solutions constitutes a converged solution in the k-means clustering procedure?

Figure 4 (value of attribute Height for the ten observations O1-O10, read along the Height axis):
Observation : Height
O1 : 5.7
O2 : 6.0
O3 : 6.2
O4 : 6.3
O5 : 6.4
O6 : 6.6
O7 : 6.7
O8 : 6.9
O9 : 7.0
O10 : 7.4
(O5, O6, O7, O10 have FG > 45% (black); O1, O2, O3, O4, O8, O9 have FG <= 45% (red).)

A. {O1}, {O2, O3, O4, O5, O6, O7, O8, O9, O10}.
B. {O1, O2, O3, O4, O5}, {O6, O7, O8, O9, O10}.
C. {O1, O2, O3, O4, O5, O6, O7}, {O8, O9, O10}.
D. {O1, O2, O3, O4, O5, O6, O7, O8, O9}, {O10}.","Figure 4 (value of attribute Height for the ten observations O1-O10, read along the Height axis spanning 5.7 to 7.4):
Observation : Height
O1 : 5.7
O2 : 6.0
O3 : 6.2
O4 : 6.3
O5 : 6.4
O6 : 6.6
O7 : 6.7
O8 : 6.9
O9 : 7.0
O10 : 7.4
Class colors: FG > 45% (black) = {O5, O6, O7, O10}; FG <= 45% (red) = {O1, O2, O3, O4, O8, O9}.",,B
